日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-04-16,26.0,28.9559,24.0,26.05,3803998,6.05,30.25
2021-04-19,24.6,25.225,22.6,22.97,578316,-3.08,-11.82
2021-04-20,22.31,24.44,22.16,23.12,234178,0.15,0.65
2021-04-21,23.57,24.67,22.65,23.97,229774,0.85,3.68
2021-04-22,23.3,23.78,22.65,22.95,86251,-1.02,-4.2553
2021-04-23,23.08,23.39,22.15,22.35,133304,-0.6,-2.6144
2021-04-26,22.35,23.07,21.91,22.62,156727,0.27,1.21
2021-04-27,22.44,22.76,21.83,22.0,110538,-0.62,-2.7409
2021-04-28,21.82,22.8,21.82,22.8,174642,0.8,3.64
2021-04-29,22.44,23.1,22.21,22.49,76131,-0.31,-1.36
2021-04-30,22.26,22.94,21.84,22.44,114539,-0.05,-0.2223
2021-05-03,22.36,22.9,22.0,22.21,83535,-0.23,-1.025
2021-05-04,21.85,22.2,20.06,21.04,144574,-1.17,-5.2679
2021-05-05,21.49,21.82,20.746,20.99,63350,-0.05,-0.2376
2021-05-06,20.99,21.15,18.5496,19.28,85353,-1.71,-8.1467
2021-05-07,19.15,20.12,18.52,19.75,45876,0.47,2.4378
2021-05-10,20.04,20.72,18.5001,19.13,67495,-0.62,-3.1392
2021-05-11,18.39,18.5,17.13,17.89,343527,-1.24,-6.482
2021-05-12,17.89,19.16,16.83,19.09,619442,1.2,6.71
2021-05-13,19.2,21.03,17.17,20.12,358999,1.03,5.3955
2021-05-14,19.89,21.68,18.68,20.4,324542,0.28,1.39
2021-05-17,20.71,21.927,19.875,20.17,110894,-0.23,-1.13
2021-05-18,20.01,21.74,18.8897,19.73,101144,-0.44,-2.18
2021-05-19,19.0,21.53,19.0,20.64,65552,0.91,4.61
2021-05-20,20.94,22.8248,20.13,21.61,32602,0.97,4.6996
2021-05-21,21.63,23.4426,21.54,21.95,46143,0.34,1.5733
2021-05-24,22.08,22.12,20.8101,21.99,47641,0.04,0.18
2021-05-25,22.15,22.15,21.5,21.84,36753,-0.15,-0.68
2021-05-26,21.66,21.88,20.68,20.94,52917,-0.9,-4.12
2021-05-27,21.54,21.8409,20.54,20.71,48033,-0.23,-1.1
2021-05-28,20.71,22.0,20.35,20.82,153222,0.11,0.5311
2021-06-01,20.41,21.125,20.095,20.36,63387,-0.46,-2.21
2021-06-02,20.67,21.105,20.11,20.52,112226,0.16,0.79
2021-06-03,19.875,21.37,19.875,19.9,87740,-0.62,-3.02
2021-06-04,20.17,20.7,20.04,20.27,47771,0.37,1.86
2021-06-07,20.39,21.045,19.47,19.95,176406,-0.32,-1.58
2021-06-08,19.94,20.59,19.57,20.09,58161,0.14,0.7
2021-06-09,20.02,20.7,19.92,20.31,44038,0.22,1.1
2021-06-10,20.68,20.68,19.7,19.8,74506,-0.51,-2.51
2021-06-11,19.75,20.15,19.46,19.94,57421,0.14,0.71
2021-06-14,20.16,20.5,19.42,19.53,117634,-0.41,-2.06
2021-06-15,19.53,19.61,18.77,19.18,93720,-0.35,-1.79
2021-06-16,19.12,20.05,18.25,19.55,428280,0.37,1.93
2021-06-17,19.72,20.45,19.22,19.44,172896,-0.11,-0.56
2021-06-18,19.45,20.55,18.9,19.2,451703,-0.24,-1.23
2021-06-21,19.21,20.4,19.01,19.82,138622,0.62,3.23
2021-06-22,19.71,20.01,18.66,18.66,79102,-1.16,-5.85
2021-06-23,18.81,18.9,18.01,18.26,52504,-0.4,-2.14
2021-06-24,18.1,18.825,18.03,18.06,140536,-0.2,-1.0953
2021-06-25,18.44,19.97,18.16,18.85,998497,0.79,4.37
2021-06-28,18.85,19.62,18.62,19.0,133137,0.15,0.8
2021-06-29,19.1,20.49,18.89,20.28,110016,1.28,6.74
2021-06-30,20.36,20.37,18.51,19.34,206185,-0.94,-4.64
2021-07-01,19.32,20.2,18.685,19.0,85852,-0.34,-1.76
2021-07-02,19.02,19.29,18.25,18.46,149248,-0.54,-2.84
2021-07-06,18.54,18.71,18.31,18.66,46271,0.2,1.08
2021-07-07,18.89,18.99,17.85,18.18,54190,-0.48,-2.57
2021-07-08,18.14,18.43,17.66,18.43,133926,0.25,1.38
2021-07-09,18.48,19.63,18.48,19.33,60316,0.9,4.88
2021-07-12,19.62,21.84,19.35,20.41,233178,1.08,5.59
2021-07-13,20.09,21.06,16.97,17.02,329947,-3.39,-16.61
2021-07-14,17.15,17.78,17.0561,17.64,115205,0.62,3.64
2021-07-15,17.64,17.92,17.22,17.6,68649,-0.04,-0.23
2021-07-16,17.81,18.07,17.43,17.7,371549,0.1,0.57
2021-07-19,17.26,17.69,17.22,17.36,73808,-0.34,-1.92
2021-07-20,17.56,17.96,17.23,17.43,146330,0.07,0.4
2021-07-21,17.37,17.595,17.125,17.34,245681,-0.09,-0.5164
2021-07-22,17.46,18.3334,16.52,16.66,88401,-0.68,-3.9216
2021-07-23,16.8006,16.9,15.88,16.38,88352,-0.28,-1.68
2021-07-26,16.57,16.98,16.03,16.96,108609,0.58,3.54
2021-07-27,16.74,17.535,16.45,17.25,82361,0.29,1.71
2021-07-28,17.2,17.8,16.85,17.35,59166,0.1,0.58
2021-07-29,17.45,18.14,17.43,17.6,55555,0.25,1.44
2021-07-30,17.75,17.75,16.915,17.34,47757,-0.26,-1.48
2021-08-02,17.43,17.49,16.41,16.58,252352,-0.76,-4.38
2021-08-03,16.59,17.495,15.97,16.57,64176,-0.01,-0.06
2021-08-04,16.5,17.74,16.385,17.2,347099,0.63,3.8
2021-08-05,17.39,17.57,17.02,17.34,29706,0.14,0.81
2021-08-06,17.53,17.6355,17.1,17.29,119875,-0.05,-0.29
2021-08-09,17.51,18.03,17.23,17.9,152722,0.61,3.53
2021-08-10,18.08,18.4894,16.3814,17.99,190004,0.09,0.5
2021-08-11,18.24,18.36,17.45,17.89,383077,-0.1,-0.56
2021-08-12,17.725,17.945,16.79,17.06,94271,-0.83,-4.64
