日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2017-03-16,18.0,18.4,15.85,16.08,22839925,3.3,25.82
2017-03-17,16.59,17.69,16.54,17.23,9366957,1.15,7.15
2017-03-20,17.1,17.2,16.55,17.06,2252963,-0.13,-0.75
2017-03-21,17.07,17.32,16.5,16.52,1785613,-0.58,-3.39
2017-03-22,16.47,16.53,16.0,16.05,1047949,-0.47,-2.85
2017-03-23,16.07,16.25,15.75,15.96,1256039,-0.09,-0.56
2017-03-24,15.83,16.08,15.63,15.64,710208,-0.32,-2.01
2017-03-27,15.54,15.63,15.33,15.4,797406,-0.24,-1.53
2017-03-28,15.33,16.36,15.2,16.35,1844433,0.95,6.17
2017-03-29,16.22,16.55,16.02,16.49,799260,0.14,0.86
2017-03-30,16.53,16.54,16.21,16.41,484919,-0.08,-0.49
2017-03-31,16.37,16.39,15.83,15.96,692188,-0.45,-2.74
2017-04-03,16.07,16.08,15.5,15.66,431162,-0.3,-1.88
2017-04-04,15.66,16.1,15.61,16.08,743245,0.42,2.68
2017-04-05,16.1,16.54,16.08,16.47,967385,0.39,2.43
2017-04-06,16.46,16.7,16.1,16.7,849401,0.23,1.4
2017-04-07,16.69,16.81,16.511,16.75,566843,0.05,0.3
2017-04-10,17.07,17.23,16.61,16.8,1699932,0.05,0.3
2017-04-11,16.91,17.0,16.1,16.24,1034610,-0.56,-3.33
2017-04-12,16.24,16.3,15.82,16.04,527529,-0.2,-1.23
2017-04-13,16.0,16.23,15.86,16.15,608142,0.11,0.69
2017-04-17,16.26,16.3,15.99,16.01,264755,-0.14,-0.87
2017-04-18,15.94,16.32,15.91,16.31,438873,0.3,1.87
2017-04-19,16.26,16.35,16.246,16.29,189998,-0.02,-0.12
2017-04-20,16.25,16.3,16.085,16.11,265277,-0.18,-1.1
2017-04-21,16.12,16.2,15.95,15.99,191188,-0.12,-0.74
2017-04-24,15.9,16.0,15.81,15.92,351750,-0.07,-0.44
2017-04-25,15.94,16.38,15.84,16.37,448201,0.45,2.83
2017-04-26,16.37,16.88,16.3,16.86,581227,0.49,2.99
2017-04-27,16.73,16.826,16.43,16.75,348727,-0.11,-0.65
2017-04-28,16.84,16.84,16.618,16.83,194970,0.08,0.48
2017-05-01,16.85,17.04,16.39,16.59,446168,-0.24,-1.43
2017-05-02,16.55,16.72,16.14,16.15,455511,-0.44,-2.65
2017-05-03,16.17,16.5,15.984,16.39,252776,0.24,1.49
2017-05-04,16.39,17.34,16.258,17.14,886003,0.75,4.58
2017-05-05,17.15,17.469,17.03,17.29,793592,0.15,0.88
2017-05-08,17.32,17.37,17.08,17.19,333672,-0.1,-0.58
2017-05-09,17.15,17.39,17.07,17.1,233294,-0.09,-0.52
2017-05-10,17.1,17.25,16.84,17.2,204763,0.1,0.58
2017-05-11,17.1,17.35,17.051,17.23,303682,0.03,0.17
2017-05-12,17.21,17.839,17.14,17.73,547324,0.5,2.9
2017-05-15,17.85,18.1,17.31,18.0,501151,0.27,1.52
2017-05-16,18.04,18.72,17.9,18.42,1547580,0.42,2.33
2017-05-17,18.22,18.29,17.47,17.49,1162322,-0.93,-5.05
2017-05-18,17.44,17.75,17.36,17.42,410741,-0.07,-0.4
2017-05-19,17.43,17.76,17.37,17.52,340215,0.1,0.57
2017-05-22,17.58,18.299,17.577,18.11,381841,0.59,3.37
2017-05-23,18.14,18.71,18.14,18.34,683574,0.23,1.27
2017-05-24,18.3,18.33,17.86,18.0,418209,-0.34,-1.85
2017-05-25,18.09,18.25,17.936,18.03,228909,0.03,0.17
2017-05-26,18.08,18.27,17.9,18.01,418126,-0.02,-0.11
2017-05-30,18.05,18.2,17.93,17.99,280349,-0.02,-0.11
2017-05-31,18.07,18.09,17.6,18.05,492895,0.06,0.33
2017-06-01,18.08,19.43,18.02,18.71,1329940,0.66,3.66
