日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-03-18,27.0,27.65,23.98,25.0,27151740,4.0,19.05
2021-03-19,25.3,25.86,24.68,25.12,4273511,0.12,0.48
2021-03-22,24.71,25.0,21.14,23.19,5118109,-1.93,-7.68
2021-03-23,23.0,23.09,20.9,21.0,5339401,-2.19,-9.44
2021-03-24,21.0,21.27,18.51,19.28,6340735,-1.72,-8.19
2021-03-25,18.8,20.25,17.585,19.15,3407156,-0.13,-0.67
2021-03-26,20.0,24.65,19.11,24.64,3845253,5.49,28.67
2021-03-29,23.0,23.01,20.12,20.25,3954826,-4.39,-17.82
2021-03-30,20.26,21.01,19.76,20.38,1375986,0.13,0.64
2021-03-31,20.46,22.965,20.45,21.14,1864581,0.76,3.73
2021-04-01,21.99,24.0,21.67,23.34,2112966,2.2,10.41
2021-04-05,22.99,23.155,20.05,20.07,907412,-3.27,-14.01
2021-04-06,20.55,21.55,20.19,20.43,385954,0.36,1.79
2021-04-07,20.58,21.76,20.3,21.0,481454,0.57,2.79
2021-04-08,21.34,22.64,21.01,22.21,460269,1.21,5.76
2021-04-09,22.07,22.64,21.6215,22.27,774087,0.06,0.2701
2021-04-12,22.11,22.18,19.01,19.31,1963886,-2.96,-13.29
2021-04-13,20.0,20.52,18.85,19.01,1023703,-0.3,-1.55
2021-04-14,19.05,19.16,17.1,17.76,1836993,-1.25,-6.5755
2021-04-15,17.81,18.96,17.51,17.61,819754,-0.15,-0.84
2021-04-16,17.97,20.5,17.9101,20.28,1969063,2.67,15.1618
2021-04-19,20.4,20.5,18.0,18.0,1314107,-2.28,-11.24
2021-04-20,18.4,18.47,17.61,17.77,1018365,-0.23,-1.28
2021-04-21,17.67,18.08,17.42,17.68,642513,-0.09,-0.51
2021-04-22,17.75,18.61,17.39,17.43,1264708,-0.25,-1.41
2021-04-23,17.95,20.59,17.68,20.27,1104367,2.84,16.29
2021-04-26,19.75,20.67,19.26,20.35,505611,0.08,0.3947
2021-04-27,20.36,20.8999,19.72,19.96,543913,-0.39,-1.92
2021-04-28,20.25,20.8,19.96,20.72,561591,0.76,3.81
2021-04-29,21.0,21.0,19.9335,20.2,547496,-0.52,-2.51
2021-04-30,19.99,20.2,19.38,19.39,486051,-0.81,-4.01
2021-05-03,19.3,19.93,18.97,19.85,192205,0.46,2.37
2021-05-04,19.4,19.86,18.88,19.78,282077,-0.07,-0.35
2021-05-05,19.52,19.73,18.365,18.68,186483,-1.1,-5.5612
2021-05-06,18.5,18.61,17.58,18.0,567429,-0.68,-3.64
2021-05-07,18.02,18.51,17.41,17.41,523659,-0.59,-3.28
2021-05-10,17.86,17.86,16.37,16.48,896397,-0.93,-5.34
2021-05-11,16.08,17.21,15.7,16.94,743056,0.46,2.79
2021-05-12,16.88,17.5,16.41,16.88,1196545,-0.06,-0.35
2021-05-13,17.03,17.79,16.92,16.95,473154,0.07,0.41
2021-05-14,17.73,18.15,16.01,17.45,1562960,0.5,2.95
2021-05-17,18.1,19.37,17.81,18.96,1118302,1.51,8.65
2021-05-18,19.18,21.6674,19.18,21.5,1071161,2.54,13.4
2021-05-19,20.0,22.79,19.67,22.62,1357250,1.12,5.21
2021-05-20,22.79,25.33,22.79,24.49,1610627,1.87,8.27
2021-05-21,24.65,24.84,22.4,23.43,819241,-1.06,-4.33
2021-05-24,23.16,23.16,21.01,21.52,646912,-1.91,-8.15
2021-05-25,22.02,23.7881,22.02,23.06,536573,1.54,7.16
2021-05-26,23.26,26.65,23.26,26.0,1104574,2.94,12.75
2021-05-27,26.01,26.19,24.22,24.57,834055,-1.43,-5.5
2021-05-28,25.72,25.72,23.66,23.86,541444,-0.71,-2.8897
2021-06-01,24.29,26.05,24.12,25.95,749569,2.09,8.76
